,year,month,label,sentence
58355,2021,9,남성,오늘 연세발정의날임?ㅠ 왤케다들 꼬추 못쑤셔넣어서 안달나있음?ㅉㅉ...
58359,2021,9,성소수자,K-present 가라사대
58451,2021,9,여성/가족,우리반에 윤지선 빠순이 있는거 같음
58467,2021,9,여성/가족,헤어 얼마나 대충했으면 스프레이 뿌렸는데도 2시간 있다 다 풀려서 미친년 됐어요
58497,2021,9,남성,9월 28일 오후 4시경에 나한테 사주 보고 복채도 안내고 튄 30살 직장인 남자는 들어라.
58527,2021,9,인종/국적,"그런 그에게 최근 큰 골칫거리가 하나 생겼으니, 그것은 중동 출신의 몇몇 연세대학교 유학생들이 영업시간에 가게에 들어와 ""돼지고기 먹으면 지옥 간다""는 등의 발언을 크게 외치며 손님들께 불쾌감을 주고 있다는 것이었습니다."
58531,2021,9,인종/국적,"이제 좀 정상적으로 장사를 할 수 있게 됐다고 기대하던 김 씨. 그러나 그런 기대를 비웃기라도 하듯이, 영업 시작 1시간 후 이전의 그 유학생들이 또 가게에 들어와 똑같은 방식으로 영업을 방해하기 시작했습니다. 화가 머리끝까지 난 김 씨는 ""그럴 거면 너희 이슬람으로 돌아가!""라고 소리치며 유학생들을 내쫓았습니다."
58532,2021,9,인종/국적,"며칠 후, 연세춘추에는 ""이슬람 학우의 설움, '돼지고기 안 먹을 거면 너희 이슬람으로 돌아가'라며 문전박대""라는 기사가 올라왔고, 이제는 전의 중동 유학생들뿐만 아니라 모 단과대학의 몇몇 한국 학생들까지 연세대학교 깃발과 무지개색 깃발을 함께 들고 찾아와 ""종교의 자유 존중하라! 인종차별 발언 사죄하라!""며 가게 앞에서 피켓을 들고 시위를 벌이는 지경이 되었습니다."
58534,2021,9,인종/국적,"하지만 이는 의도치 않게 더 큰 논란을 가져오게 됐는데, 중동 유학생들을 옹호하는 측에서 ""우린 이런 식으로 살아왔다고 했지, '이슬람식 식습관'이라는 표현은 쓴 적 없다. '너희가 이슬람식이라 하길래 나도 이슬람으로 돌아가라고 받아친 게 왜 인종차별이냐'라는 식으로 언론 플레이를 하려는 거냐?"" 라는 주장을 펼쳤고, 김 씨에게 가해지는 비난은 오히려 더 가중되고 말았습니다."
58620,2021,9,여성/가족,그럼 난 카메라로 얼굴을 정신없이 찍고있는 여대생을 향해 (얼굴에 홍조가 피어있음)
58625,2021,9,여성/가족,"스카 여자 알바생이 (동네에서 제일 예쁘다고 소문난 쿨뷰티 미녀, 몸매 S급, 처녀임)"
58637,2021,9,인종/국적,"전자의 경우에는 동양에서의 ""암""이라는 단어와 유래가 비슷하다는게 재밌는데, 중국 남송시대에 찌부러지고 깊이 빠진 바위와 같다는 의미에서 '병들어 기낼 역'자에 '바위 암' 자를 합쳐 한자를 만들었음"
58755,2021,9,기타 혐오,"적극적 차별 해소 정책, 균등한 교육을 받을 권리의 헌법적 보장, 근로의 권리의 헌법적 보장, 경제력 남용을 방지하기 위한 국가적 규제 등 경제 민주화"
58830,2021,9,성소수자,소수자들이 학소위를 원한다기 보다는
58831,2021,9,성소수자,학소위가 소수자를 이용하려는 느낌
58946,2021,9,기타 혐오,PC 주의자들이 절대 못받아들이는 두 가지가 있음
58947,2021,9,기타 혐오,아래 어디 게시판 캡쳐 봐도 알겠지만 PC주의자는 '자유'랑 '다양성'을 절대 인정하지 않는다.
58975,2021,9,연령,"속담 속 뱁새 마냥, 송충이 마냥, 나는 이 학교에 맞지 않는 것이었을까..."
59001,2021,9,여성/가족,서울에서 55%가 여대약대ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
59011,2021,9,기타 혐오,"소수자를 위한 척 하면서 지들 이익 챙기려는 새끼들밖에 못봤는데, 제발 우리들 핑계 대면서 개같은 짓거라 안했으면 함."
59031,2021,9,성소수자,"소수자뭐시기 말고 실질적인 일 좀 하면 안되나 자기들이 뭔데 인권의식 고취니 뭐니,,"
59034,2021,9,여성/가족,연세대마저 페미들이 다시 슬금슬금 기어나오네 역겹다
59035,2021,9,기타 혐오,전과자 인권이나 챙기는 소수자위원회 말고
59039,2021,9,기타 혐오,0. 학알못 친구를 위한 용어와 배경 설명
59051,2021,9,기타 혐오,꿘 비권 이야기로 넘어가자면 총여폐지+코로나19로 운동권은 멸망한지 오래임. 잔존세력은 사회대밖에 없을거임. 학생회 주요 요직은 다 비권이 차지한지 오래임. 권비권 프레임이 더 이상 유효하지 않다고 생각함. 19년도 4월때 친총여선본의 멸망 이후로 후학양성(?)도 안되고 있고 사회대의 몇 안 남은 친구인 문대도 20년도때 비권인 현직 총학생회장이 문대 후보시절 선거로 운동권들 박살냄. 그때 문선관위 이슈로 에타도 핫했는데 기억할 사람은 기억할거임. 현직 부총학생회장은 총학만 3년하는 사람으로 알고 있음. 나보다 어리신 분이라 잘은 모르는데 플로우 메이트 스위치 3년 비권 총학의 명맥을 잇고 있는 사람임. 3연속 정권 창출이 없었던 학생사회에서 내가 볼 때는 쌉비권임. 작년에는 총학 기획실장으로 총여 방빼는 일 담당하신 걸로 알고 있음.
59062,2021,9,기타 혐오,결론은 운동권이 총여를 지지하는거부터 모순이다 이거다
59078,2021,9,기타 혐오,소수자 끌어들이지 마라
59082,2021,9,기타 혐오,뭔 소수자 인권 뭐시기뭐시기 차별 받지 않게 뭐시기뭐시기 이러는거 너무 역겨움. 자기들 이익챙길라고 그렇게까지 가면을 쓰고 이용해먹고싶나?
59092,2021,9,지역,학생회 고인물출신이다
59094,2021,9,연령,코로나아니었으면 진작에 욕 뒤지게먹었을텐데 학교다니는애들이 죄다 코로나세대니 머가 문제인지도 모르고 그냥 조용히 넘어가는듯
59106,2021,9,기타 혐오,근데 왜 소수자를 챙김?
59108,2021,9,성소수자,어떤 소수자를 말하는건지 모르겠다 설명좀
59114,2021,9,기타 혐오,"""소수자를 위한다"" ""정의를 위한다"" 이런 식으로 짜서 가지고 나오기 때문에 반대의견만 내도 ""저 저 피도 눈물도 없는 파렴치한들""하고 프레임씌울 수 있음"
59122,2021,9,기타 혐오,운동권 개싫다
59123,2021,9,성소수자,문대생인데 새터 때 성인지교육 퀴즈쇼 하면서 메갈 옹호할 때부터 쌔했다
59141,2021,9,성소수자,슬금슬금 소수자 들고 나오네
59144,2021,9,성소수자,소수자어쩌구로 이짓 또하려고?
59151,2021,9,성소수자,소수자위원회에 내 학생회비 주기싫은데
59156,2021,9,기타 혐오,소수자 인권 챙기는거면
59190,2021,9,성소수자,학소위는 '학내외 학생과 소수자에 대한 차별 및 인권 침해 대응'을 하겠다고 안건지에 올려놨는데 학생기구의 근본적인 목적은 학생들에게 봉사하는 것이다. 학생기구는 여타 다른 목적을 위하여 수단화 되어서는 안된다. 자신들이 하고 싶은 사회 운동 등이 있으면 자기들끼리 단체를 만들어서 활동하면 된다. 왜 그걸 학생 기구로 넣으려고 하는가?
59192,2021,9,성소수자,학소위는 '학내외 학생소수자 인권의식 고취 사업 진행'을 하겠다고 밝혔다. 인권을 두고도 여러 해석 방향이 존재하고 있는 것이 현실이다. 예를들어 성평등을 놓고도 페미니즘이라는 수단만 인정하는 사람과 아니라는 사람이 있듯이 말이다. 학소위의 인권의식 고취 사업은 무엇인가? 그것은 합의된 의식인가 아니면 이 단체의 설립을 요청한 자들의 의식인가. 만일 후자라면 학생기구의 이름을 빌어서 학생들에게 강제로 자신들의 생각을 주입하려는 단체를 왜 허가해야 하는가.
59195,2021,9,기타 혐오,"이들이 올린 소위 가안의 내용을 보면 나는 총여가 떠오른다. 총여의 지지자들은 자신들의 이념을 강요하는것을 당연시 했고, 총여에 대한 반대나 비판은 여혐, 백래쉬 등으로 몰아세웠다. 그러나 그러면서도 총여의 민의에 의한 통제를 거부했다. 그들은 무너지는 순간까지도 '자치권'이라는 구호를 끝없이 외쳤다. 이제 그것보다 더한 단체가 오고 있다. 총여에 대한 반대는 그래도 페미니즘 반대 정도였는지 모르겠는데 이제 '소수자인권위원회'가 오는만큼 이에 대한 반대는 아예 소수자 탄압이나 인권에 대한 반대로 프레임화 될 것이다. 일방적인 사상 독재가 펼쳐지는 것이다."
59197,2021,9,성소수자,소수자위원회 이거 총여 부활임???
59208,2021,9,기타 혐오,지잡대 부자 >>>>>>>>> 연세대 가난
59230,2021,9,인종/국적,6년간 쇠사슬로 묶어놓고 성매매를 강요당했던 오랑우탄
59231,2021,9,성소수자,https://www.segye.com/newsView/20210915506148
59232,2021,9,인종/국적,인도네시아 보르네오섬의 한 마을에서 오랑우탄을 6년간 쇠사슬로 묶어놓고 성매매를 시켰다가 2003년에 구출됨
59258,2021,9,여성/가족,보틀은 6만원부터 시작하는 거 같아요!
59268,2021,9,기타 혐오,의대도 아니면서 의대생에 빙의한 공찐들
59330,2021,9,종교,교권이 개박살난 교실
59344,2021,9,인종/국적,짱깨 코로나 맞네 ㅎ
59437,2021,9,연령,-꼰- 이라해도 할말 없긴 함
59514,2021,9,성소수자,"남자꼬추빨고싶다 (익명7, 남자)"
59520,2021,9,남성,20대 초중반 남자 자만추 선호하는데 정말 힘든환경이라 여기까지왔다 자세한건 쪽지로 얘기해줄게 부담없이 그냥 연락줘
59605,2021,9,기타 혐오,연대 문과생들 인생 꼬이는 루트 두가지
59614,2021,9,기타 혐오,"로스쿨 예과생 코스프레 하면서 뽕차서 학교 다니다가, 리트 n수하거나 원하지 못하는 로스쿨 가서 매일 분노에 차서 커뮤에 홀리짓"
59626,2021,9,여성/가족,그래서 난 여자징병 찬성안함 어짜피 큰도움이 안될것같거든
59656,2021,9,남성,군인 존중 나락인건 군필남자 탓도 있음
59657,2021,9,남성,"원래도 있었지만 휴대폰 사용가능 이후로 더 심해진게, 군대 이슈 나오기만 하면 꼭 나서서 지금 군대가 군대냐~ 이걸로 왜 징징거리냐~ 이러는 군필남자들 적지않게 튀어나옴ㅋㅋ"
59702,2021,9,여성/가족,"숙대-중딩맞짱,페미"
59790,2021,9,기타 혐오,현실적으로 한국남자들이 한국여자들에게 리스펙트 받고 이전 세대 한국남자들에게 꿀빨면서 징징대는 놈들이라는 취급을 받지 않기 위해서는 징병제가 폐지되야만 한다고 생각한다.
