,year,month,label,sentence
73570,2021,6,기타 혐오,그냥 이대남도 혐오표현이라고 국민청원 올리고 싶다
73674,2021,6,여성/가족,왜 여자는 군대 안 가?
73676,2021,6,기타 혐오,차별금지법은 '틀린' 법이다
73677,2021,6,기타 혐오,"차별금지법 이라는 이름에 혹해서 이걸 '취지는 좋은데 악용의 여지가 있는 법', '사회적 합의가 좀 더 필요하지만 언젠간 만들어야 할 법' 정도로 생각하는 사람들이 많다. 미안하지만, 틀렸다. 차별금지법은 차별을 막기 위한 법이 아니다."
73688,2021,6,기타 혐오,"내가 만든 가짜뉴스 방지법으로는, 위의 그 어떠한 질문에도 답할 수 없다. 결국 귀에 걸면 귀걸이고 코에 걸면 코걸이인, 중구난방에 제멋대로인 법인 것이다. 차별금지법과 마찬가지로."
73689,2021,6,기타 혐오,그렇다면 국회의원들이 바보라서 이런 되다만 법을 만드는가? 아니다. 의원들은 타락했을지언정 멍청하지는 않다. 당연히 이따위 법으로는 차별 금지라는 표면상 목적을 달성할 수 없다는걸 안다.
73690,2021,6,기타 혐오,"차별금지법은 악용의 여지가 있는 법이 아니라, 처음부터 권력의 검으로 휘두르기 위해 발의한 법이라고 봐야 한다. 이 법의 취지는 차별 금지가 아니라 독재다. 그 칼자루를 누가 쥘 지는 지난 4년간 대한민국 국민으로 살았다면 모를 수가 없다"
73722,2021,6,기타 혐오,기레기들임 ㅋㅋㅋㅋㅋㅋㅋㅋ
73726,2021,6,기타 혐오,'너네 학교로 돌아가라' 차별 조장하는 본교생
73738,2021,6,성소수자,Make Yonsei Great Again!
73763,2021,6,여성/가족,아직 젊다 이혼 못 해서 억지로 살아야하는 중노년 부부 아니니까 제발 너 자신을 아껴라 비싸게 굴어라
73793,2021,6,연령,나 꼰대임 반박시 니 말이 맞음 ㅇㅇ
73803,2021,6,기타 혐오,원주캠 애들에게 신촌캠과 동등한 취급을 못 해주는 건 사회적 약자(또는 소수자)에 대한 견딜 수 없는 차별인거야?
73822,2021,6,인종/국적,사진이 좀 지저분한데 외국인 아저씨가 큰 꼬챙이에 고기 꽂힌 거 들고 테이블마다 접시에 고기 서빙해주는 식이라 ㅋㅋㅋ 예쁘게 찍기가 불가능
73958,2021,6,성소수자,시발 나 게이 아니라고 괜히 한번 튕겨보는거 아니니까 그만 떠봐 제발 개빡치네 진짜 게이 존중해주려고 해도 이렇게 ㅈ같이 구니 ㅈ같지 않을 수가 없다 제발 나 여자 존나 좋아하니까 제발 꺼져줘
74040,2021,6,남성,남자애들아 만약 너네가 자만추 느낌으로 괜찮은 여자애 번호를 따고 싶으면 예쁜 카페 가서 공부를 하는 습관(?)을 들여봐
74057,2021,6,여성/가족,지금은 ㅂ성고와 같은 남고에서 남자는 잠재적 가해자로 나오는 연극이 아니면 생기부 개판으로 쓴다는 여교사가 더 문제 아니냐?
74058,2021,6,기타 혐오,"이미 묻혀진 유치원에서부터 페미 안 따르면 왕따를 조장하는 ""교사"" 집단도 있는 마당에 사상주입 당한다고 믿는 그쪽은 이쪽에 대해서는 아무 말도 안하고 모르쇠로 일관하는 것도 꼴보기 싫어"
74065,2021,6,여성/가족,아무리 익명 커뮤니티라지만 정도가 있는 것 아니야? 여자는 교사 ~ 여자 나이가 ~ 어쩌구 하는 글이나 평범한 일반인 남자 직딩 사진 올려놓고 토 나온다 어쩐다 하는 글이나 똑같이 혐오스러워. 너네는 그게 정상으로 보임? 문제의식이 느껴지지 않아?
74100,2021,6,남성,그 애는 한 번도 잘해준 적 없는 못난 남자친구가 뭐가 그렇게 좋다고 울면서 매달렸는지 모르겠다 마지막으로 너를 집에 데려다주고 돌아오는 길에 나는 초등학생 때 이후로 십 년 만에 울었던 거 같다
74119,2021,6,기타 혐오,가난하기 때문에 이것들을
74199,2021,6,기타 혐오,도둑맞은 가난...
74215,2021,6,연령,틀딱이 알려주는 네이버 인턴(극히 주관적)
74217,2021,6,연령,"본 틀딱은 네이버 본사, 계열사를 쓰까먹으면서 2회 전환형 인턴을 했음 + 신뢰도 5%의 주변통계학 친구들 사례 + 현직자 사례를 쓰까서 주관적인 의견을 남김"
74226,2021,6,기타 혐오,"좋은 것 중에 나쁨. IT회사들 중에선 꼰대질, 정치질, 탑다운이 남아있음. 근데 뭐 이건 스트레스 받을 정도는 아님. 그리고 진리의 케바케고 ㅇㅇ. 서비스 개선에 사내 정치가 개입될때도 있고, IT회사의 환상과는 다른 면들이 있음"
74257,2021,6,여성/가족,"가부장적인 가정폭력의 피해자인 엄마는 자신의 트라우마를 대물림시키지않고 자식들을 충분히 사랑하는 방법을 몰랐다. 울면 울지 말라고 더 때리고, 치마 길이가 무릎을 넘지 않으면 창녀같다며 내 머리채를 잡았다."
74262,2021,6,기타 혐오,20년차 가난뱅이의 꿀팁
74268,2021,6,기타 혐오,가난한 내 자신을 남들과 비교하며 매일 괴로워하고 너무 불쌍히 여기면 피해의식이 생긴다
74277,2021,6,기타 혐오,가난하면 피해의식이 생길 수밖에 없는 환경인거 알지만 아무리 생각해도 그렇다
74304,2021,6,남성,여기 왜이렇게 발정난 남정네들이 많아
74309,2021,6,기타 혐오,도둑맞은 가난이다 ㄹㅇ
74346,2021,6,여성/가족,"돈과 권력, 헤게모니 쥐고있는 늙은 남자들이 짜놓은 판에서 시키는 대로 굴러서 그 보상이 뭐였냐?"
74349,2021,6,남성,애초에 이대남은 아쉬울 게 없음
74351,2021,6,여성/가족,남자들이 예전처럼 잘 져주지도 않고 손해도 안보려고하고 호구같이 안구니까 슬슬 불편한가보지?
74352,2021,6,남성,잘 있어라 어차피 남자들이 예전 그 호구자리로 다시 돌아갈 일은 없음
74413,2021,6,지역,내 여친 인프피인데 여기 글들 읽으면 죄다 내 여친이 써놓은 것 같음 걔 목소리로 읽혀 ㅋㅋㅋㅋㅋㅋ 근데 또 홍대병 조금 곁들이면 너넨 왜 다 똑같냐 이럼 기분나쁘다며
74421,2021,6,기타 혐오,결국 아이패드를 켜면 유튜브를 보게 되더라고 나레기..
74560,2021,6,기타 혐오,여초 차별금지법 찬성의 민낯
74626,2021,6,여성/가족,혐오스러운 캣맘들
74635,2021,6,남성,고백 거절한 여중생 죽인 남고생 징역 장기 12년 단기 5년
74658,2021,6,여성/가족,"- 남성 50kg 이상, 여성 45kg 이상"
74690,2021,6,남성,주작이 없으면 남혐을 못하지
74692,2021,6,여성/가족,페미의 본질을 알고 페미를 버림
74708,2021,6,남성,주작 남혐 공세에 대한 집단 면역을 형성하고자 하니
74756,2021,6,여성/가족,1. 쌩얼차이 진짜 너무 극심함; 일단 이거땜시 여자 환상 박살남
74777,2021,6,성소수자,비게는 변태들밖에 없고
74783,2021,6,성소수자,https://www.yonsei.ac.kr/sc/support/scholarship.jsp?mode=view&article_no=196273&board_wrapper=%2Fsc%2Fsupport%2Fscholarship.jsp&pager.offset=0&board_no=29
74901,2021,6,여성/가족,16명이 신입 여경을…태백경찰서 2년간 성폭력 사실이었다
74935,2021,6,여성/가족,제비꽃같이 조그마한 그 계집애가
