,year,month,label,sentence
17,2022,5,기타 혐오,정신병겜 응원하는 사람들이라 그런지 정신병이 확실하구만
150,2022,5,종교,유튜브 먹방/브이로그 끊으니까 식욕 개줄어든닼ㅋㅋㅋㅋ
191,2022,5,인종/국적,젖닌들이 코파 수준 드립치면 웃긴게
242,2022,5,기타 혐오,개삼성 제발 해체
325,2022,5,여성/가족,"사회전부가 외모, 숫자에 집착하는데 그것도 개도국일때나 쓸모있지"
346,2022,5,연령,기형적 권력의 40대 세대와 갈등 feat 푸틴
351,2022,5,연령,1. 50-70대들이 늙어서 죽으면 40대가 제일 인구수가 많음
356,2022,5,연령,"6. 40대들은 기형적인 구조로 전정권과 결탁해 정치, 경제적으로 순식간에 기득세력이 되어 한반도 역사상 가장 보수적인 진보가 되어버림"
362,2022,5,여성/가족,12. 은마아파트 다시 8억 10억 하던 때로 때려 낮추고 유리천장 없애고 사회에 유동성 확보해야한다
363,2022,5,인종/국적,"13. 아니면 조선인은 단 한마리도 남지 않을 것, 세대갈등은 이렇게 보이는 거 같음"
457,2022,5,여성/가족,근데 진짜 페미들 얘 지지함?
480,2022,5,성소수자,아니 성적 매력 있는 고딩>>>>>>>>성적 매력 없는 성인인데 뭔 소아성애자 드립을 쳐 정신 나갈거 같네
545,2022,5,남성,돼지남 회사 출격.
559,2022,5,기타 혐오,여기 저 핫게글이 주작이거나 가난 코스프레 글인 이유
653,2022,5,여성/가족,"여자를 인격체로 봐달라면서 또 여자는 약자니까 보호해줘, 퍼스트 해줘하는건 자가모순이라 할 수 있지요."
654,2022,5,인종/국적,"대표적으로 타이타닉에서 양남들은 여자들을 다 탈출시키고 자기들은 죽었지만, 그 시절 여자들에게 투표권은 없고, 여자는 남편이 시키는대로 일만하고 때려도 순종해야 한다는 상업광고까지 나오던 시절이죠."
655,2022,5,여성/가족,"또, 우크라에서 여자들만 피난을 허용한건 전통적인 관습인데, 이건 여자들을 임신머신으로 봐서 그렇죠. 소련군은 평등을 가치로 여군들도 갈아넣었고요."
